track_id	track_name	track_artist	track_popularity	track_album_id	track_album_name	track_album_release_date	playlist_name	playlist_id	playlist_genre	playlist_subgenre	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	length
6f807x0ima9a1j3VPbc7VN	I Don't Care (with Justin Bieber) - Loud Luxury Remix	Ed Sheeran	66	2oCs0DGTsRO98Gh5ZSl2Cx	I Don't Care (with Justin Bieber) [Loud Luxury Remix]	6/14/2019	Pop Remix	37i9dQZF1DXcZDD7cfEKhW	pop	dance pop	0.748	0.916	6	-2.634	1	0.0583	0.102	0	0.0653	0.518	122.036	194754	3.25
0r7CVbZTWZgbTCYdfa2P31	Memories - Dillon Francis Remix	Maroon 5	67	63rPSO264uRjW1X5E6cWv6	Memories (Dillon Francis Remix)	12/13/2019	Pop Remix	37i9dQZF1DXcZDD7cfEKhW	pop	dance pop	0.726	0.815	11	-4.969	1	0.0373	0.0724	0.00421	0.357	0.693	99.972	162600	2.71
1z1Hg7Vb0AhHDiEmnDE79l	All the Time - Don Diablo Remix	Zara Larsson	70	1HoSmj2eLcsrR0vE9gThr4	All the Time (Don Diablo Remix)	7/5/2019	Pop Remix	37i9dQZF1DXcZDD7cfEKhW	pop	dance pop	0.675	0.931	1	-3.432	0	0.0742	0.0794	2.33E-05	0.11	0.613	124.008	176616	2.94
75FpbthrwQmzHlBJLuGdC7	Call You Mine - Keanu Silva Remix	The Chainsmokers	60	1nqYsOef1yKKuGOVchbsk6	Call You Mine - The Remixes	7/19/2019	Pop Remix	37i9dQZF1DXcZDD7cfEKhW	pop	dance pop	0.718	0.93	7	-3.778	1	0.102	0.0287	9.43E-06	0.204	0.277	121.956	169093	2.82
1e8PAfcKUYoKkxPhrHqw4x	Someone You Loved - Future Humans Remix	Lewis Capaldi	69	7m7vv9wlQ4i0LFuJiE2zsQ	Someone You Loved (Future Humans Remix)	3/5/2019	Pop Remix	37i9dQZF1DXcZDD7cfEKhW	pop	dance pop	0.65	0.833	1	-4.672	1	0.0359	0.0803	0	0.0833	0.725	123.976	189052	3.15
7fvUMiyapMsRRxr07cU8Ef	Beautiful People (feat. Khalid) - Jack Wins Remix	Ed Sheeran	67	2yiy9cd2QktrNvWC2EUi0k	Beautiful People (feat. Khalid) [Jack Wins Remix]	7/11/2019	Pop Remix	37i9dQZF1DXcZDD7cfEKhW	pop	dance pop	0.675	0.919	8	-5.385	1	0.127	0.0799	0	0.143	0.585	124.982	163049	2.72
2OAylPUDDfwRGfe0lYqlCQ	Never Really Over - R3HAB Remix	Katy Perry	62	7INHYSeusaFlyrHSNxm8qH	Never Really Over (R3HAB Remix)	7/26/2019	Pop Remix	37i9dQZF1DXcZDD7cfEKhW	pop	dance pop	0.449	0.856	5	-4.788	0	0.0623	0.187	0	0.176	0.152	112.648	187675	3.13
6b1RNvAcJjQH73eZO4BLAB	Post Malone (feat. RANI) - GATTÜSO Remix	Sam Feldt	69	6703SRPsLkS4bPtMFFJes1	Post Malone (feat. RANI) [GATTÜSO Remix]	8/29/2019	Pop Remix	37i9dQZF1DXcZDD7cfEKhW	pop	dance pop	0.542	0.903	4	-2.419	0	0.0434	0.0335	4.83E-06	0.111	0.367	127.936	207619	3.46
7bF6tCO3gFb8INrEDcjNT5	Tough Love - Tiësto Remix / Radio Edit	Avicii	68	7CvAfGvq4RlIwEbT9o8Iav	Tough Love (Tiësto Remix)	6/14/2019	Pop Remix	37i9dQZF1DXcZDD7cfEKhW	pop	dance pop	0.594	0.935	8	-3.562	1	0.0565	0.0249	3.97E-06	0.637	0.366	127.015	193187	3.22
1IXGILkPm0tOCNeq00kCPa	If I Can't Have You - Gryffin Remix	Shawn Mendes	67	4QxzbfSsVryEQwvPFEV5Iu	If I Can't Have You (Gryffin Remix)	6/20/2019	Pop Remix	37i9dQZF1DXcZDD7cfEKhW	pop	dance pop	0.642	0.818	2	-4.552	1	0.032	0.0567	0	0.0919	0.59	124.957	253040	4.22
3eFJI470ALf1EYjywPRsJy	Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix	Ed Sheeran	58	49bXZtlI5kQSqQMSCnSaWO	Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix]	6/21/2019	Pop Remix	37i9dQZF1DXcZDD7cfEKhW	pop	dance pop	0.679	0.923	6	-6.5	1	0.181	0.146	4.92E-06	0.124	0.752	121.984	207894	3.46
3iJeF2izF1QcpCgUc97BLl	Hate Me - R3HAB Remix	Ellie Goulding	67	6e6RVFWdZaoTiLAZOCMnps	Hate Me (R3HAB Remix)	8/16/2019	Pop Remix	37i9dQZF1DXcZDD7cfEKhW	pop	dance pop	0.437	0.774	8	-4.918	1	0.0554	0.148	0	0.133	0.329	123.125	203733	3.4
6e0CvGZf7CouOpYF8toXHC	Body On My	Loud Luxury	67	2R66I0nzp3NnuUlzIGWQ5P	Body On My	3/29/2019	Pop Remix	37i9dQZF1DXcZDD7cfEKhW	pop	dance pop	0.744	0.726	1	-4.675	1	0.0463	0.0399	0	0.374	0.687	121.985	192507	3.21
3eLdNmnRWr9gIyBcqTSSti	SOS - Laidback Luke Tribute Remix / Radio Edit	Avicii	68	7Al4TIo0c5twNLfdOh1y1u	SOS (Laidback Luke Tribute Remix)	5/17/2019	Pop Remix	37i9dQZF1DXcZDD7cfEKhW	pop	dance pop	0.572	0.915	5	-4.451	0	0.0625	0.0111	0	0.339	0.678	123.919	164516	2.74
55nMnifaQWKe3f9cbwOXwx	Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix	Martin Garrix	63	2vx3BtBMn8Ed3ygEg1OT2t	Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes]	7/12/2019	Pop Remix	37i9dQZF1DXcZDD7cfEKhW	pop	dance pop	0.69	0.78	5	-4.446	0	0.0594	0.00733	0.00183	0.0729	0.238	126.07	255238	4.25
